original_id,original_deviceid,original_servertime,original_latitude,original_longitude,original_speed,distance,formatted,lat,lon,name,street,suburb,district,postcode,city,county,state,country,country_code,attribution,attribution_license,attribution_url
76787596,218,2019-12-26 12:03:32,27.69145333333333,85.32619666666666,0.26,12.238964998206328,"Madan Bhandari Path, Kathmandu, Kathmandu 44617, Nepal",27.691344,85.326211,,Madan Bhandari Path,,,44617,Kathmandu,Kathmandu,Three,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
76788107,218,2019-12-26 12:04:02,27.691435,85.326265,0.04,11.43054967902593,"Madan Bhandari Path, Kathmandu, Kathmandu 44617, Nepal",27.691344,85.326211,,Madan Bhandari Path,,,44617,Kathmandu,Kathmandu,Three,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
76788691,218,2019-12-26 12:04:35,27.691395,85.32634166666666,0.07,14.059748223785448,"Madan Bhandari Path, Kathmandu, Kathmandu 44617, Nepal",27.691344,85.326211,,Madan Bhandari Path,,,44617,Kathmandu,Kathmandu,Three,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
76789209,218,2019-12-26 12:05:05,27.69130833333333,85.32656333333334,0.74,4.2361744821191545,"Kathmandu, Kathmandu 44617, Nepal",27.6922553,85.324616,,,,Kathmandu-11,44617,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
76789653,218,2019-12-26 12:05:32,27.691136666666665,85.326915,0.01,4.6139761649097935,"Kathmandu, Kathmandu 44617, Nepal",27.6922553,85.324616,,,,Kathmandu-11,44617,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
76790190,218,2019-12-26 12:06:02,27.69104,85.32711,1.37,4.610327189842263,"Kathmandu, Kathmandu 44617, Nepal",27.6922553,85.324616,,,,Kathmandu-11,44617,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
76790716,218,2019-12-26 12:06:31,27.69083833333333,85.32750666666666,0.4,25.792110310606088,"The Thakali Bhansa Ghar, Daphe Marg, Kathmandu, Kathmandu 44617, Nepal",27.6910141,85.3276776,The Thakali Bhansa Ghar,Daphe Marg,,Kathmandu-11,44617,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
76791223,218,2019-12-26 12:07:01,27.690765,85.327635,1.77,28.00940141422795,"The Thakali Bhansa Ghar, Kathmandu, Kathmandu 44617, Nepal",27.691014,85.327678,The Thakali Bhansa Ghar,,,,44617,Kathmandu,Kathmandu,Three,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
76791791,218,2019-12-26 12:07:31,27.690645,85.32787166666667,1.79,20.660150138123623,"NH34, Kathmandu, Kathmandu 44617, Nepal",27.690498,85.328,,NH34,,,44617,Kathmandu,Kathmandu,Three,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
76792326,218,2019-12-26 12:08:02,27.690505,85.32818333333333,0.56,0.027408471891389428,"Kathmandu, Kathmandu 44617, Nepal",27.6905379,85.3281156,,,,Kathmandu-11,44617,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
