original_id,original_deviceid,original_servertime,original_latitude,original_longitude,original_speed,distance,formatted,lat,lon,housenumber,name,suburb,street,postcode,district,city,county,state,country,country_code,attribution,attribution_license,attribution_url
74214034,284,2019-12-24 18:35:21,27.691626666666668,85.326785,0.03,1.1656178018977077,"Nepal Telecom, Madan Bhandari Path, Kathmandu, Kathmandu 44617, Nepal",27.691415749999997,85.32694386086273,,Nepal Telecom,,Madan Bhandari Path,44617,Kathmandu-11,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
74215053,284,2019-12-24 18:36:21,27.69162,85.32679,0.63,0.7229049851829713,"Nepal Telecom, Madan Bhandari Path, Kathmandu, Kathmandu 44617, Nepal",27.691415749999997,85.32694386086273,,Nepal Telecom,,Madan Bhandari Path,44617,Kathmandu-11,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
74216099,284,2019-12-24 18:37:21,27.69161833333333,85.32672166666667,0.15,0,"Nepal Telecom, Madan Bhandari Path, Kathmandu, Kathmandu 44617, Nepal",27.691415749999997,85.32694386086273,,Nepal Telecom,,Madan Bhandari Path,44617,Kathmandu-11,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
74217129,284,2019-12-24 18:38:21,27.691605,85.32673666666666,0.24,0,"Nepal Telecom, Madan Bhandari Path, Kathmandu, Kathmandu 44617, Nepal",27.691415749999997,85.32694386086273,,Nepal Telecom,,Madan Bhandari Path,44617,Kathmandu-11,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
74217630,284,2019-12-24 18:38:50,27.691615,85.32677166666667,0.17,0,"Nepal Telecom, Madan Bhandari Path, Kathmandu, Kathmandu 44617, Nepal",27.691415749999997,85.32694386086273,,Nepal Telecom,,Madan Bhandari Path,44617,Kathmandu-11,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
74218129,284,2019-12-24 18:39:20,27.69161666666667,85.32678,0.7,0,"Nepal Telecom, Madan Bhandari Path, Kathmandu, Kathmandu 44617, Nepal",27.691415749999997,85.32694386086273,,Nepal Telecom,,Madan Bhandari Path,44617,Kathmandu-11,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
74227118,284,2019-12-24 18:48:17,27.691665,85.32687,0.16,2.599684665090518,"Kathmandu, Kathmandu 44617, Nepal",27.6916865,85.3267644,,,,,44617,Kathmandu-11,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
74237132,284,2019-12-24 18:58:12,27.69168833333333,85.32692666666667,0.57,7.447913166935194,"Kathmandu, Kathmandu 44617, Nepal",27.6916865,85.3267644,,,,,44617,Kathmandu-11,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
74238112,284,2019-12-24 18:59:11,27.69167333333333,85.327005,0.27,9.470274944509299,"Kathmandu, Kathmandu 44617, Nepal",27.6916865,85.3267644,,,,,44617,Kathmandu-11,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
74239117,284,2019-12-24 19:00:11,27.691691666666667,85.326825,0.83,3.2253392327643997,"Kathmandu, Kathmandu 44617, Nepal",27.6916865,85.3267644,,,,,44617,Kathmandu-11,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
74240150,284,2019-12-24 19:01:10,27.691635,85.32689166666667,0.07,0.5990584630597514,"Kathmandu, Kathmandu 44617, Nepal",27.6916865,85.3267644,,,,,44617,Kathmandu-11,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
74241146,284,2019-12-24 19:02:10,27.6916,85.32680333333333,0.54,0,"Nepal Telecom, Madan Bhandari Path, Kathmandu, Kathmandu 44617, Nepal",27.691415749999997,85.32694386086273,,Nepal Telecom,,Madan Bhandari Path,44617,Kathmandu-11,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
74242144,284,2019-12-24 19:03:09,27.69163,85.32681166666667,0.32,2.6717974102831645,"Nepal Telecom, Madan Bhandari Path, Kathmandu, Kathmandu 44617, Nepal",27.691415749999997,85.32694386086273,,Nepal Telecom,,Madan Bhandari Path,44617,Kathmandu-11,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
74243161,284,2019-12-24 19:04:09,27.691683333333334,85.32675166666667,0.64,1.0467123171278878,"Kathmandu, Kathmandu 44617, Nepal",27.6916865,85.3267644,,,,,44617,Kathmandu-11,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
74244161,284,2019-12-24 19:05:08,27.691711666666667,85.32678666666666,0.29,3.489336801838028,"Kathmandu, Kathmandu 44617, Nepal",27.6916865,85.3267644,,,,,44617,Kathmandu-11,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
74245151,284,2019-12-24 19:06:08,27.691648333333333,85.32689666666667,0.31,2.1433458323951706,"Kathmandu, Kathmandu 44617, Nepal",27.6916865,85.3267644,,,,,44617,Kathmandu-11,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
74246144,284,2019-12-24 19:07:08,27.691638333333334,85.32690166666667,0.16,1.3769585023185142,"Kathmandu, Kathmandu 44617, Nepal",27.6916865,85.3267644,,,,,44617,Kathmandu-11,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
74247143,284,2019-12-24 19:08:08,27.691671666666668,85.32695166666667,0.1,6.916940531221882,"Kathmandu, Kathmandu 44617, Nepal",27.6916865,85.3267644,,,,,44617,Kathmandu-11,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
74247622,284,2019-12-24 19:08:37,27.691683333333334,85.326935,0.12,7.325938350743969,"Kathmandu, Kathmandu 44617, Nepal",27.6916865,85.3267644,,,,,44617,Kathmandu-11,Kathmandu,Kathmandu,Bagmati Province,Nepal,np,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
