road_segment,datetime,average_speed
0,2019-12-23 05:00:00,37.0
0,2019-12-05 05:00:02,42.6
0,2019-12-12 05:00:04,39.4
0,2019-12-29 05:00:04,35.7
0,2019-12-12 05:00:05,30.2
0,2019-12-30 05:00:08,34.0
0,2019-12-17 05:00:10,30.5
0,2019-12-10 05:00:12,39.4
0,2019-12-09 05:00:20,33.0
0,2019-12-12 05:00:20,35.1
0,2019-12-03 05:00:22,43.9
0,2019-12-11 05:00:27,45.3
0,2019-12-18 05:00:38,43.8
0,2019-12-30 05:00:58,28.7
0,2019-12-07 05:01:22,34.4
0,2019-12-09 05:01:23,37.1
0,2019-12-09 05:01:31,31.1
0,2019-12-19 05:01:53,27.6
0,2019-12-06 05:01:54,29.3
0,2019-12-27 05:01:57,29.9
0,2019-12-20 05:01:58,34.7
0,2019-12-20 05:02:00,33.6
0,2019-12-26 05:02:05,40.0
0,2019-12-27 05:02:24,42.0
0,2019-12-24 05:02:25,30.8
0,2019-12-08 05:02:36,33.3
0,2019-12-09 05:02:38,31.1
0,2019-12-08 05:02:47,30.9
0,2019-12-04 05:02:56,27.6
0,2019-12-06 05:03:14,31.4
0,2019-12-23 05:03:30,33.5
0,2019-12-24 05:03:38,29.2
0,2019-12-27 05:03:50,30.7
0,2019-12-01 05:03:57,30.6
0,2019-12-31 05:03:57,33.8
0,2019-12-31 05:04:00,29.9
0,2019-12-25 05:04:28,34.0
0,2019-12-06 05:04:43,35.9
0,2019-12-11 05:04:43,33.5
0,2019-12-27 05:04:44,32.4
0,2019-12-22 05:04:59,30.6
0,2019-12-22 05:05:00,27.0
0,2019-12-21 05:05:29,30.5
0,2019-12-22 05:05:56,32.4
0,2019-12-22 05:05:59,30.1
0,2019-12-22 05:06:03,28.0
0,2019-12-23 05:06:04,32.8
0,2019-12-22 05:06:13,25.5
0,2019-12-30 05:06:14,32.1
0,2019-12-04 05:06:19,28.7
0,2019-12-16 05:06:22,28.5
0,2019-12-22 05:06:51,27.6
0,2019-12-31 05:07:08,28.4
0,2019-12-24 05:07:49,34.4
0,2019-12-18 05:07:55,32.1
0,2019-12-17 05:08:00,32.1
0,2019-12-12 05:08:01,30.3
0,2019-12-05 05:08:08,29.8
0,2019-12-03 05:08:13,32.9
0,2019-12-17 05:08:31,30.6
0,2019-12-26 05:09:30,29.4
0,2019-12-10 05:09:43,33.7
0,2019-12-06 05:09:47,37.7
0,2019-12-29 05:09:48,31.9
0,2019-12-17 05:10:04,30.9
0,2019-12-13 05:10:08,32.9
0,2019-12-06 05:10:25,30.7
0,2019-12-23 05:10:37,30.7
0,2019-12-22 05:10:43,31.3
0,2019-12-31 05:11:10,29.0
0,2019-12-27 05:11:18,28.2
0,2019-12-23 05:11:26,32.1
0,2019-12-12 05:11:36,30.5
0,2019-12-15 05:11:46,37.7
0,2019-12-02 05:12:12,35.3
0,2019-12-08 05:12:15,31.6
0,2019-12-17 05:12:22,32.5
0,2019-12-01 05:12:29,33.8
0,2019-12-20 05:13:07,27.9
0,2019-12-26 05:13:19,44.2
0,2019-12-03 05:13:34,27.8
0,2019-12-11 05:13:36,33.4
0,2019-12-10 05:14:33,29.7
0,2019-12-11 05:14:53,30.0
0,2019-12-20 05:15:01,26.7
0,2019-12-15 05:15:17,30.4
0,2019-12-05 05:15:32,31.9
0,2019-12-19 05:15:44,29.0
0,2019-12-05 05:15:52,32.2
0,2019-12-11 05:16:18,33.9
0,2019-12-20 05:16:25,29.9
0,2019-12-11 05:16:38,32.7
0,2019-12-31 05:17:04,27.4
0,2019-12-04 05:17:07,30.0
0,2019-12-04 05:17:29,31.5
0,2019-12-05 05:17:59,31.7
0,2019-12-06 05:18:21,29.7
0,2019-12-08 05:18:44,31.4
0,2019-12-30 05:18:48,29.3
0,2019-12-11 05:19:02,30.7
0,2019-12-08 05:19:04,29.4
0,2019-12-02 05:19:09,32.4
0,2019-12-20 05:19:20,23.3
0,2019-12-06 05:20:38,31.5
0,2019-12-16 05:21:20,28.0
0,2019-12-11 05:21:46,28.5
0,2019-12-11 05:22:00,28.0
0,2019-12-26 05:22:04,34.3
0,2019-12-22 05:22:08,29.7
0,2019-12-05 05:22:15,25.7
0,2019-12-08 05:22:20,32.8
0,2019-12-16 05:22:25,32.7
0,2019-12-29 05:22:32,26.1
0,2019-12-05 05:23:00,31.6
0,2019-12-12 05:23:07,31.7
0,2019-12-16 05:23:20,31.8
0,2019-12-11 05:23:23,29.2
0,2019-12-18 05:23:28,29.0
0,2019-12-20 05:23:49,27.2
0,2019-12-13 05:23:57,29.0
0,2019-12-27 05:24:06,32.3
0,2019-12-18 05:24:12,29.7
0,2019-12-10 05:24:26,33.1
0,2019-12-09 05:24:29,28.9
0,2019-12-18 05:24:29,30.0
0,2019-12-05 05:24:47,37.1
0,2019-12-26 05:25:02,34.2
0,2019-12-06 05:25:18,29.9
0,2019-12-11 05:25:22,31.0
0,2019-12-18 05:25:44,32.4
0,2019-12-25 05:26:11,31.0
0,2019-12-31 05:26:54,35.2
0,2019-12-06 05:27:03,35.6
0,2019-12-18 05:27:18,30.6
0,2019-12-21 05:27:32,31.7
0,2019-12-03 05:27:57,30.7
0,2019-12-21 05:28:27,30.1
0,2019-12-23 05:28:33,30.9
0,2019-12-09 05:28:58,31.1
0,2019-12-27 05:29:14,29.3
0,2019-12-04 05:29:15,37.5
0,2019-12-15 05:29:15,27.8
0,2019-12-18 05:29:16,30.1
0,2019-12-30 05:29:26,36.2
0,2019-12-11 05:29:42,29.0
0,2019-12-23 05:29:57,30.2
0,2019-12-17 05:30:05,33.3
0,2019-12-08 05:30:19,28.2
0,2019-12-20 05:30:34,28.6
0,2019-12-23 05:30:39,30.2
0,2019-12-05 05:30:46,30.7
0,2019-12-10 05:30:47,29.6
0,2019-12-17 05:30:55,31.0
0,2019-12-25 05:30:55,30.9
0,2019-12-16 05:31:14,35.8
0,2019-12-10 05:31:25,30.5
0,2019-12-01 05:31:57,30.0
0,2019-12-12 05:32:14,28.5
0,2019-12-16 05:32:23,27.8
0,2019-12-20 05:33:04,29.3
0,2019-12-03 05:33:08,29.3
0,2019-12-18 05:33:21,30.1
0,2019-12-05 05:33:28,33.1
0,2019-12-08 05:33:31,32.2
0,2019-12-05 05:33:36,36.0
0,2019-12-05 05:33:38,31.7
0,2019-12-23 05:34:16,29.5
0,2019-12-22 05:34:37,29.3
0,2019-12-04 05:35:40,31.0
0,2019-12-10 05:36:20,32.6
0,2019-12-23 05:36:56,31.4
0,2019-12-10 05:37:52,32.7
0,2019-12-09 05:37:55,29.1
0,2019-12-05 05:38:15,27.6
0,2019-12-11 05:38:29,35.1
0,2019-12-19 05:38:32,35.2
0,2019-12-05 05:38:41,30.8
0,2019-12-25 05:39:26,30.3
0,2019-12-03 05:39:31,33.1
0,2019-12-03 05:40:16,30.2
0,2019-12-18 05:40:18,29.6
0,2019-12-03 05:40:24,26.6
0,2019-12-17 05:41:16,30.7
0,2019-12-18 05:41:36,28.6
0,2019-12-24 05:41:37,30.8
0,2019-12-24 05:42:21,31.8
0,2019-12-18 05:42:28,33.6
0,2019-12-22 05:42:32,25.6
0,2019-12-02 05:43:09,30.3
0,2019-12-09 05:43:16,30.7
0,2019-12-06 05:43:34,33.3
0,2019-12-29 05:43:41,30.0
0,2019-12-05 05:43:50,28.6
0,2019-12-02 05:43:57,32.0
0,2019-12-13 05:44:32,32.2
0,2019-12-03 05:44:35,30.3
0,2019-12-30 05:44:48,28.6
0,2019-12-03 05:45:46,28.4
0,2019-12-25 05:46:06,35.2
0,2019-12-01 05:46:47,43.6
0,2019-12-10 05:47:03,36.8
0,2019-12-31 05:47:23,36.5
0,2019-12-12 05:47:40,35.3
0,2019-12-05 05:47:57,28.4
0,2019-12-18 05:48:05,29.1
0,2019-12-30 05:49:08,31.1
0,2019-12-13 05:50:01,27.2
0,2019-12-12 05:50:22,32.2
0,2019-12-23 05:50:27,29.3
0,2019-12-27 05:50:29,28.5
0,2019-12-18 05:50:39,30.0
0,2019-12-28 05:51:04,35.7
0,2019-12-08 05:51:16,30.2
0,2019-12-17 05:51:33,28.5
0,2019-12-17 05:52:18,31.0
0,2019-12-05 05:52:50,28.0
0,2019-12-06 05:53:00,34.6
0,2019-12-09 05:53:10,31.6
0,2019-12-27 05:54:23,27.4
0,2019-12-04 05:54:28,28.3
0,2019-12-15 05:54:42,35.3
0,2019-12-22 05:54:43,28.4
0,2019-12-24 05:54:58,32.2
0,2019-12-27 05:55:50,31.2
0,2019-12-12 05:56:04,34.0
0,2019-12-09 05:56:08,33.5
0,2019-12-04 05:56:18,33.9
0,2019-12-06 05:56:23,32.3
0,2019-12-11 05:56:30,28.5
0,2019-12-24 05:56:40,34.0
0,2019-12-27 05:57:12,29.9
0,2019-12-02 05:57:42,30.7
0,2019-12-18 05:58:27,30.0
0,2019-12-03 05:59:17,30.8
0,2019-12-01 05:59:23,30.8
0,2019-12-10 05:59:35,37.6
0,2019-12-16 05:59:50,31.9
0,2019-12-02 05:59:51,32.1
0,2019-12-08 05:59:53,35.4
0,2019-12-13 05:59:55,36.4
0,2019-12-02 06:00:31,28.7
0,2019-12-30 06:01:00,32.0
0,2019-12-02 06:01:04,28.0
0,2019-12-12 06:01:21,31.1
0,2019-12-08 06:01:29,30.5
0,2019-12-09 06:02:25,29.8
0,2019-12-22 06:02:25,31.3
0,2019-12-03 06:02:47,27.7
0,2019-12-23 06:03:00,33.4
0,2019-12-13 06:03:29,31.4
0,2019-12-30 06:03:53,33.0
0,2019-12-03 06:04:20,28.9
0,2019-12-13 06:04:28,30.4
0,2019-12-12 06:04:54,28.2
0,2019-12-01 06:04:57,32.6
0,2019-12-30 06:05:25,37.8
0,2019-12-11 06:05:32,31.2
0,2019-12-26 06:06:05,34.5
0,2019-12-23 06:06:06,28.3
0,2019-12-12 06:06:43,32.1
0,2019-12-08 06:07:21,26.4
0,2019-12-04 06:07:23,27.5
0,2019-12-10 06:07:39,34.2
0,2019-12-18 06:07:48,26.4
0,2019-12-30 06:08:05,29.3
0,2019-12-22 06:08:09,27.1
0,2019-12-21 06:09:17,38.8
0,2019-12-05 06:09:25,30.6
0,2019-12-10 06:09:27,36.9
0,2019-12-08 06:09:43,29.7
0,2019-12-25 06:09:43,31.8
0,2019-12-01 06:09:53,29.1
0,2019-12-07 06:10:10,29.8
0,2019-12-01 06:10:27,30.9
0,2019-12-04 06:10:49,27.1
0,2019-12-13 06:11:02,31.2
0,2019-12-31 06:11:29,26.1
0,2019-12-01 06:11:32,30.9
0,2019-12-06 06:11:51,31.6
0,2019-12-09 06:11:53,29.3
0,2019-12-29 06:12:18,29.1
0,2019-12-13 06:12:28,29.5
0,2019-12-26 06:12:29,33.4
0,2019-12-27 06:13:02,34.8
0,2019-12-09 06:13:05,30.4
0,2019-12-27 06:13:32,29.4
0,2019-12-25 06:13:33,30.6
0,2019-12-29 06:13:37,30.8
0,2019-12-30 06:13:39,35.2
0,2019-12-04 06:13:44,28.2
0,2019-12-03 06:13:47,27.4
0,2019-12-19 06:14:03,29.8
0,2019-12-05 06:14:05,30.3
0,2019-12-03 06:14:09,30.6
0,2019-12-18 06:14:14,31.3
0,2019-12-13 06:14:16,34.1
0,2019-12-16 06:14:28,29.5
0,2019-12-19 06:14:28,28.8
0,2019-12-13 06:14:32,29.7
0,2019-12-12 06:14:54,32.2
0,2019-12-25 06:15:01,35.2
0,2019-12-25 06:15:02,31.3
0,2019-12-26 06:15:41,33.3
0,2019-12-17 06:15:52,31.3
0,2019-12-30 06:16:02,30.9
0,2019-12-29 06:16:17,29.2
0,2019-12-06 06:16:27,24.5
0,2019-12-06 06:16:36,26.8
0,2019-12-24 06:16:45,29.5
0,2019-12-06 06:16:46,27.6
0,2019-12-06 06:16:46,31.8
0,2019-12-08 06:16:48,31.3
0,2019-12-09 06:16:54,31.8
0,2019-12-04 06:17:03,33.3
0,2019-12-15 06:17:21,37.2
0,2019-12-03 06:17:37,29.4
0,2019-12-04 06:17:43,36.3
0,2019-12-03 06:17:55,32.6
0,2019-12-09 06:18:01,35.8
0,2019-12-20 06:18:14,31.5
0,2019-12-08 06:18:33,28.9
0,2019-12-17 06:18:50,31.0
0,2019-12-19 06:18:50,27.8
0,2019-12-23 06:18:50,29.3
0,2019-12-25 06:19:33,34.8
0,2019-12-26 06:20:22,32.9
0,2019-12-03 06:20:33,30.4
0,2019-12-18 06:21:26,31.7
0,2019-12-09 06:21:38,32.2
0,2019-12-09 06:21:51,29.0
0,2019-12-01 06:21:58,34.6
0,2019-12-16 06:22:39,29.9
0,2019-12-08 06:22:58,29.0
0,2019-12-16 06:23:15,27.1
0,2019-12-10 06:23:35,32.8
0,2019-12-09 06:23:40,28.9
0,2019-12-08 06:23:43,27.2
0,2019-12-13 06:23:59,31.0
0,2019-12-17 06:24:00,27.3
0,2019-12-14 06:24:26,31.9
0,2019-12-10 06:24:29,30.5
0,2019-12-09 06:25:17,30.6
0,2019-12-03 06:26:24,27.0
0,2019-12-18 06:26:34,30.1
0,2019-12-26 06:26:44,36.4
0,2019-12-23 06:26:54,30.7
0,2019-12-27 06:26:54,28.9
0,2019-12-04 06:27:06,30.0
0,2019-12-15 06:27:43,31.2
0,2019-12-22 06:28:05,28.9
0,2019-12-20 06:28:10,27.5
0,2019-12-12 06:28:50,30.8
0,2019-12-23 06:28:50,27.9
0,2019-12-25 06:29:37,28.9
0,2019-12-25 06:29:43,28.2
0,2019-12-04 06:30:08,23.3
0,2019-12-15 06:30:19,30.6
0,2019-12-13 06:30:33,29.3
0,2019-12-20 06:30:51,22.3
0,2019-12-27 06:31:18,24.8
0,2019-12-10 06:31:23,31.9
0,2019-12-02 06:31:32,31.8
0,2019-12-15 06:31:52,24.5
0,2019-12-02 06:31:56,25.8
0,2019-12-09 06:32:17,23.3
0,2019-12-06 06:32:23,31.8
0,2019-12-10 06:32:26,32.3
0,2019-12-30 06:32:32,28.5
0,2019-12-23 06:33:46,28.0
0,2019-12-20 06:34:34,29.4
0,2019-12-29 06:34:39,26.6
0,2019-12-13 06:34:40,26.3
0,2019-12-17 06:34:52,26.9
0,2019-12-24 06:34:55,26.9
0,2019-12-02 06:34:57,25.9
0,2019-12-21 06:35:26,29.4
0,2019-12-11 06:35:34,25.2
0,2019-12-01 06:35:46,32.4
0,2019-12-16 06:35:58,27.7
0,2019-12-09 06:37:23,32.5
0,2019-12-05 06:37:45,23.7
0,2019-12-19 06:37:49,26.5
0,2019-12-31 06:37:59,21.4
0,2019-12-13 06:38:11,27.9
0,2019-12-17 06:40:30,25.4
0,2019-12-18 06:40:37,25.1
0,2019-12-25 06:40:48,30.4
0,2019-12-19 06:40:56,23.9
0,2019-12-01 06:41:02,29.0
0,2019-12-03 06:41:08,26.6
0,2019-12-28 06:41:22,30.2
0,2019-12-16 06:41:57,24.3
0,2019-12-01 06:42:25,25.9
0,2019-12-29 06:42:32,27.0
0,2019-12-17 06:43:43,27.4
0,2019-12-25 06:44:09,26.6
0,2019-12-13 06:44:42,27.2
0,2019-12-04 06:44:48,25.6
0,2019-12-02 06:46:01,25.7
0,2019-12-24 06:46:03,20.3
0,2019-12-05 06:46:20,24.1
0,2019-12-23 06:46:47,29.0
0,2019-12-29 06:46:49,30.3
0,2019-12-03 06:47:16,26.0
0,2019-12-01 06:47:21,24.4
0,2019-12-18 06:48:40,30.4
0,2019-12-02 06:49:05,28.2
0,2019-12-27 06:49:05,29.4
0,2019-12-01 06:49:31,28.6
0,2019-12-16 06:49:45,28.9
0,2019-12-24 06:50:25,27.6
0,2019-12-17 06:50:44,44.2
0,2019-12-13 06:51:27,25.4
0,2019-12-15 06:51:39,25.7
0,2019-12-10 06:52:22,27.1
0,2019-12-16 06:52:54,23.3
0,2019-12-26 06:53:26,28.9
0,2019-12-20 06:53:32,23.8
0,2019-12-04 06:53:54,24.0
0,2019-12-23 06:54:07,24.8
0,2019-12-17 06:54:26,27.1
0,2019-12-03 06:54:40,26.0
0,2019-12-05 06:54:52,24.3
0,2019-12-19 06:55:17,23.6
0,2019-12-11 06:55:32,28.5
0,2019-12-06 06:55:36,26.2
0,2019-12-30 06:55:50,27.2
0,2019-12-18 06:56:10,29.0
0,2019-12-24 06:57:02,27.4
0,2019-12-31 06:57:19,21.4
0,2019-12-30 06:57:49,23.7
0,2019-12-16 06:57:51,24.1
0,2019-12-26 06:57:53,30.4
0,2019-12-11 06:58:32,25.7
0,2019-12-05 06:58:51,29.6
0,2019-12-23 06:59:15,24.4
0,2019-12-23 06:59:33,26.5
0,2019-12-18 06:59:58,23.9
0,2019-12-27 07:00:29,24.0
0,2019-12-20 07:00:52,25.9
0,2019-12-15 07:01:04,25.5
0,2019-12-06 07:01:48,26.0
0,2019-12-09 07:02:04,23.3
0,2019-12-11 07:02:33,29.6
0,2019-12-13 07:02:44,26.5
0,2019-12-03 07:02:57,25.8
0,2019-12-19 07:03:48,26.7
0,2019-12-13 07:04:51,27.5
0,2019-12-31 07:05:16,23.1
0,2019-12-08 07:05:26,26.5
0,2019-12-06 07:05:35,26.9
0,2019-12-26 07:06:34,31.5
0,2019-12-13 07:06:58,21.9
0,2019-12-16 07:07:14,24.1
