datetime,road_segment,is_peakhour,speed,congestion_index,arrival_time
2019-12-10 06:34:42,maitighar_putalisadak,off_peak,7.8,Heavy,8.8
2019-12-10 12:02:55,maitighar_putalisadak,off_peak,1.15,Heavy,60.0
2019-12-13 11:11:11,maitighar_putalisadak,off_peak,4.88,Heavy,14.1
2019-12-11 11:17:35,maitighar_putalisadak,off_peak,13.42,Heavy,5.1
2019-12-15 12:13:58,maitighar_putalisadak,off_peak,4.54,Heavy,15.2
2019-12-03 05:38:35,maitighar_putalisadak,off_peak,6.54,Heavy,10.6
2019-12-30 15:31:50,maitighar_putalisadak,off_peak,30.18,Basically Free,2.3
2019-12-13 13:04:46,maitighar_putalisadak,off_peak,15.54,Moderate,4.4
2019-12-15 11:07:12,maitighar_putalisadak,off_peak,13.32,Heavy,5.2
2019-12-30 05:02:07,maitighar_putalisadak,off_peak,7.06,Heavy,9.8
2019-12-09 11:12:50,maitighar_putalisadak,off_peak,8.02,Heavy,8.6
2019-12-30 06:08:17,maitighar_putalisadak,off_peak,8.11,Heavy,8.5
2019-12-12 10:53:42,maitighar_putalisadak,peak,10.37,Heavy,6.7
2019-12-03 09:23:18,maitighar_putalisadak,peak,7.09,Heavy,9.7
2019-12-03 13:00:52,maitighar_putalisadak,off_peak,11.73,Heavy,5.9
2019-12-13 15:01:07,maitighar_putalisadak,off_peak,23.52,Mild,2.9
2019-12-20 05:01:58,maitighar_putalisadak,off_peak,14.55,Heavy,4.7
2019-12-01 12:29:00,maitighar_putalisadak,off_peak,21.08,Mild,3.3
2019-12-18 05:29:16,maitighar_putalisadak,off_peak,17.08,Moderate,4.0
2019-12-13 06:08:26,maitighar_putalisadak,off_peak,12.16,Heavy,5.7
2019-12-05 05:19:29,maitighar_putalisadak,off_peak,17.8186,Moderate,3.9
2019-12-04 15:03:08,maitighar_putalisadak,off_peak,20.68,Mild,3.3
2019-12-02 09:46:55,maitighar_putalisadak,peak,4.89,Heavy,14.1
2019-12-02 11:51:27,maitighar_putalisadak,off_peak,3.3,Heavy,20.9
2019-12-15 11:03:50,maitighar_putalisadak,off_peak,7.74,Heavy,8.9
2019-12-08 07:45:08,maitighar_putalisadak,off_peak,20.43,Mild,3.4
2019-12-11 05:03:25,maitighar_putalisadak,off_peak,10.21,Heavy,6.8
2019-12-15 12:32:27,maitighar_putalisadak,off_peak,1.04,Heavy,66.3
2019-12-31 08:56:17,maitighar_putalisadak,peak,1.13,Heavy,61.1
2019-12-19 07:51:26,maitighar_putalisadak,off_peak,10.36,Heavy,6.7
2019-12-05 11:36:21,maitighar_putalisadak,off_peak,6.87,Heavy,10.0
2019-12-24 13:03:31,maitighar_putalisadak,off_peak,21.03,Mild,3.3
2019-12-20 09:54:18,maitighar_putalisadak,peak,15.32,Moderate,4.5
2019-12-20 09:01:59,maitighar_putalisadak,peak,4.17,Heavy,16.5
2019-12-20 05:36:56,maitighar_putalisadak,off_peak,9.98,Heavy,6.9
2019-12-25 06:18:30,maitighar_putalisadak,off_peak,8.5,Heavy,8.1
2019-12-18 11:15:41,maitighar_putalisadak,off_peak,4.1,Heavy,16.8
2019-12-05 06:01:16,maitighar_putalisadak,off_peak,16.41,Moderate,4.2
2019-12-30 13:06:48,maitighar_putalisadak,off_peak,13.93,Heavy,5.0
2019-12-10 17:15:14,maitighar_putalisadak,peak,15.26,Moderate,4.5
2019-12-11 08:15:14,maitighar_putalisadak,peak,18.38,Moderate,3.8
2019-12-22 12:39:46,maitighar_putalisadak,off_peak,13.2,Heavy,5.2
2019-12-31 12:35:43,maitighar_putalisadak,off_peak,1.14,Heavy,60.5
2019-12-16 06:59:38,maitighar_putalisadak,off_peak,7.33,Heavy,9.4
2019-12-03 13:02:42,maitighar_putalisadak,off_peak,1.94,Heavy,35.6
